topo,seed,agent,indeg,eig,meanV
Scale Free,47,11,3,0.125,29.084
Scale Free,47,12,4,0.1667,30.244
Scale Free,47,13,7,0.2917,27.41
Scale Free,47,14,5,0.2083,29.904
Scale Free,47,15,5,0.2083,30.066
Scale Free,47,16,0,0.0,30.508
Scale Free,47,17,2,0.0833,28.636
Scale Free,47,18,5,0.2083,29.4
Scale Free,47,19,6,0.25,26.16
Scale Free,47,20,3,0.125,29.31
Scale Free,47,21,4,0.1667,29.734
Scale Free,47,22,5,0.2083,27.136
Scale Free,47,23,3,0.125,32.636
Scale Free,47,24,10,0.4167,26.94
Scale Free,47,25,1,0.0417,30.746
Scale Free,47,26,0,0.0,31.754
Scale Free,47,27,2,0.0833,30.312
Scale Free,47,28,0,0.0,31.308
Scale Free,47,29,3,0.125,28.412
Scale Free,47,30,0,0.0,31.036
Scale Free,47,31,2,0.0833,30.884
Scale Free,47,32,7,0.2917,27.652
Scale Free,47,33,5,0.2083,29.096
Scale Free,47,34,4,0.1667,30.726
Scale Free,47,35,4,0.1667,29.748
Scale Free,47,36,2,0.0833,30.738
Scale Free,47,37,0,0.0,29.064
Scale Free,47,38,3,0.125,30.238
Scale Free,47,39,1,0.0417,32.276
Scale Free,47,40,4,0.1667,27.99
Scale Free,47,41,2,0.0833,29.578
Scale Free,47,42,5,0.2083,30.07
Scale Free,47,43,5,0.2083,27.606
Scale Free,47,44,3,0.125,30.2
Scale Free,47,45,2,0.0833,30.738
Scale Free,47,46,3,0.125,27.302
Scale Free,47,47,3,0.125,27.834
Scale Free,47,48,5,0.2083,28.486
Scale Free,47,49,1,0.0417,32.526
Scale Free,47,50,3,0.125,31.364
Scale Free,47,51,4,0.1667,30.32
Scale Free,47,52,6,0.25,25.63
Scale Free,47,53,2,0.0833,28.726
Scale Free,47,54,1,0.0417,31.864
Scale Free,47,55,2,0.0833,28.48
Scale Free,47,56,2,0.0833,28.578
Scale Free,47,57,0,0.0,32.12
Scale Free,47,58,2,0.0833,29.158
Scale Free,47,59,3,0.125,27.25
Scale Free,47,60,2,0.0833,27.946
Scale Free,47,61,2,0.0833,29.71
Scale Free,47,62,1,0.0417,31.094
Scale Free,47,63,2,0.0833,27.844
Scale Free,47,64,3,0.125,28.9
Scale Free,47,65,1,0.0417,32.082
Scale Free,47,66,2,0.0833,29.944
Scale Free,47,67,3,0.125,27.854
Scale Free,47,68,0,0.0,30.966
Scale Free,47,69,1,0.0417,33.018
Scale Free,47,70,1,0.0417,32.792
Scale Free,47,71,2,0.0833,33.594
Scale Free,47,72,4,0.1667,29.748
Scale Free,47,73,2,0.0833,31.354
Scale Free,47,74,1,0.0417,30.296
Scale Free,47,75,2,0.0833,28.368
Scale Free,47,76,2,0.0833,31.764
Scale Free,47,77,2,0.0833,31.216
Scale Free,47,78,2,0.0833,33.118
Scale Free,47,79,2,0.0833,33.716
Scale Free,48,0,8,0.5,29.712
Scale Free,48,1,16,1.0,26.16
Scale Free,48,2,16,1.0,26.37
Scale Free,48,3,16,1.0,26.556
Scale Free,48,4,0,0.0,32.03
Scale Free,48,5,6,0.375,28.536
Scale Free,48,6,1,0.0625,32.184
Scale Free,48,7,8,0.5,28.142
Scale Free,48,8,1,0.0625,34.348
Scale Free,48,9,1,0.0625,31.444
Scale Free,48,10,3,0.1875,32.256
Scale Free,48,11,4,0.25,28.56
Scale Free,48,12,2,0.125,29.484
Scale Free,48,13,2,0.125,28.406
Scale Free,48,14,11,0.6875,26.388
Scale Free,48,15,4,0.25,30.826
Scale Free,48,16,8,0.5,28.142
Scale Free,48,17,6,0.375,27.108
Scale Free,48,18,6,0.375,28.442
Scale Free,48,19,0,0.0,34.618
Scale Free,48,20,5,0.3125,28.244
Scale Free,48,21,0,0.0,31.444
Scale Free,48,22,8,0.5,29.874
Scale Free,48,23,5,0.3125,29.386
Scale Free,48,24,3,0.1875,29.648
Scale Free,48,25,8,0.5,28.086
Scale Free,48,26,1,0.0625,30.926
Scale Free,48,27,3,0.1875,30.688
Scale Free,48,28,1,0.0625,31.262
Scale Free,48,29,3,0.1875,30.98
Scale Free,48,30,4,0.25,29.774
Scale Free,48,31,2,0.125,31.964
Scale Free,48,32,3,0.1875,31.438
Scale Free,48,33,3,0.1875,27.994
Scale Free,48,34,4,0.25,28.252
Scale Free,48,35,4,0.25,26.464
Scale Free,48,36,3,0.1875,30.714
Scale Free,48,37,1,0.0625,31.606
Scale Free,48,38,3,0.1875,31.158
Scale Free,48,39,1,0.0625,31.226
Scale Free,48,40,2,0.125,30.308
Scale Free,48,41,1,0.0625,32.198
Scale Free,48,42,2,0.125,30.628
Scale Free,48,43,2,0.125,30.978
Scale Free,48,44,5,0.3125,30.548
Scale Free,48,45,4,0.25,30.056
Scale Free,48,46,5,0.3125,29.576
Scale Free,48,47,1,0.0625,33.088
Scale Free,48,48,4,0.25,30.706
Scale Free,48,49,2,0.125,30.354
Scale Free,48,50,2,0.125,30.912
Scale Free,48,51,2,0.125,30.396
Scale Free,48,52,2,0.125,32.238
Scale Free,48,53,4,0.25,28.596
Scale Free,48,54,5,0.3125,29.01
Scale Free,48,55,5,0.3125,30.34
Scale Free,48,56,2,0.125,32.882
Scale Free,48,57,3,0.1875,29.1
Scale Free,48,58,3,0.1875,31.494
Scale Free,48,59,7,0.4375,31.402
Scale Free,48,60,3,0.1875,28.886
Scale Free,48,61,4,0.25,28.95
Scale Free,48,62,1,0.0625,31.562
Scale Free,48,63,4,0.25,27.492
Scale Free,48,64,1,0.0625,32.04
Scale Free,48,65,3,0.1875,30.398
Scale Free,48,66,1,0.0625,33.542
Scale Free,48,67,2,0.125,30.724
Scale Free,48,68,2,0.125,27.94
Scale Free,48,69,4,0.25,31.468
Scale Free,48,70,3,0.1875,32.72
Scale Free,48,71,2,0.125,29.69
Scale Free,48,72,2,0.125,29.416
Scale Free,48,73,2,0.125,29.776
Scale Free,48,74,2,0.125,32.92
Scale Free,48,75,1,0.0625,29.078
Scale Free,48,76,3,0.1875,34.334
Scale Free,48,77,2,0.125,29.58
Scale Free,48,78,2,0.125,32.256
Scale Free,48,79,1,0.0625,33.704
Scale Free,49,0,10,0.7143,24.854
Scale Free,49,1,10,0.7143,26.526
Scale Free,49,2,10,0.7143,24.844
Scale Free,49,3,10,0.7143,25.408
Scale Free,49,4,1,0.0714,30.414
Scale Free,49,5,14,1.0,26.066
Scale Free,49,6,13,0.9286,27.114
Scale Free,49,7,10,0.7143,24.848
Scale Free,49,8,9,0.6429,25.246
Scale Free,49,9,2,0.1429,30.376
Scale Free,49,10,7,0.5,29.01
Scale Free,49,11,5,0.3571,28.204
Scale Free,49,12,2,0.1429,28.754
Scale Free,49,13,9,0.6429,25.246
Scale Free,49,14,1,0.0714,30.856
Scale Free,49,15,0,0.0,31.584
Scale Free,49,16,11,0.7857,25.422
Scale Free,49,17,2,0.1429,26.648
Scale Free,49,18,5,0.3571,29.644
Scale Free,49,19,2,0.1429,30.558
Scale Free,49,20,0,0.0,31.656
Scale Free,49,21,8,0.5714,26.664
Scale Free,49,22,9,0.6429,26.232
Scale Free,49,23,3,0.2143,30.762
Scale Free,49,24,2,0.1429,31.608
Scale Free,49,25,2,0.1429,31.954
Scale Free,49,26,4,0.2857,27.416
Scale Free,49,27,1,0.0714,30.13
Scale Free,49,28,6,0.4286,25.8
Scale Free,49,29,1,0.0714,30.886
Scale Free,49,30,5,0.3571,30.136
Scale Free,49,31,4,0.2857,29.364
Scale Free,49,32,3,0.2143,29.19
Scale Free,49,33,2,0.1429,29.104
Scale Free,49,34,1,0.0714,31.632
Scale Free,49,35,2,0.1429,29.376
Scale Free,49,36,4,0.2857,27.546
Scale Free,49,37,3,0.2143,30.002
Scale Free,49,38,2,0.1429,28.382
Scale Free,49,39,2,0.1429,33.306
Scale Free,49,40,1,0.0714,35.412
Scale Free,49,41,2,0.1429,31.086
Scale Free,49,42,1,0.0714,30.61
Scale Free,49,43,6,0.4286,28.544
Scale Free,49,44,3,0.2143,28.69
Scale Free,49,45,6,0.4286,27.568
Scale Free,49,46,2,0.1429,31.69
Scale Free,49,47,4,0.2857,29.388
Scale Free,49,48,0,0.0,31.6
Scale Free,49,49,3,0.2143,31.322
Scale Free,49,50,4,0.2857,28.656
Scale Free,49,51,2,0.1429,31.034
Scale Free,49,52,2,0.1429,29.92
Scale Free,49,53,3,0.2143,29.824
Scale Free,49,54,2,0.1429,31.906
Scale Free,49,55,3,0.2143,31.542
Scale Free,49,56,1,0.0714,28.99
Scale Free,49,57,2,0.1429,31.076
Scale Free,49,58,0,0.0,32.792
Scale Free,49,59,2,0.1429,29.082
Scale Free,49,60,2,0.1429,27.87
Scale Free,49,61,2,0.1429,29.35
Scale Free,49,62,3,0.2143,28.814
Scale Free,49,63,3,0.2143,31.306
Scale Free,49,64,4,0.2857,27.01
Scale Free,49,65,2,0.1429,27.804
Scale Free,49,66,0,0.0,32.98
Scale Free,49,67,1,0.0714,28.888
Scale Free,49,68,3,0.2143,30.174
Scale Free,49,69,2,0.1429,29.23
Scale Free,49,70,2,0.1429,29.698
Scale Free,49,71,3,0.2143,32.432
Scale Free,49,72,3,0.2143,30.952
Scale Free,49,73,1,0.0714,30.792
Scale Free,49,74,2,0.1429,28.24
Scale Free,49,75,4,0.2857,31.238
Scale Free,49,76,1,0.0714,29.19
Scale Free,49,77,3,0.2143,30.282
Scale Free,49,78,5,0.3571,28.224
Scale Free,49,79,2,0.1429,30.006
Scale Free,50,0,11,0.9167,25.278
Scale Free,50,1,12,1.0,24.93
Scale Free,50,2,10,0.8333,27.384
Scale Free,50,3,10,0.8333,27.448
Scale Free,50,4,1,0.0833,33.012
Scale Free,50,5,10,0.8333,26.54
Scale Free,50,6,7,0.5833,27.834
Scale Free,50,7,12,1.0,26.828
Scale Free,50,8,4,0.3333,27.23
Scale Free,50,9,4,0.3333,30.374
Scale Free,50,10,6,0.5,26.36
Scale Free,50,11,3,0.25,29.278
Scale Free,50,12,7,0.5833,28.082
Scale Free,50,13,2,0.1667,27.7
Scale Free,50,14,9,0.75,27.212
Scale Free,50,15,1,0.0833,28.132
Scale Free,50,16,2,0.1667,29.166
Scale Free,50,17,2,0.1667,27.868
